Topic,9,4,8,2,0,1,6,10
Document count,84,118,35,8,1,2,2,1
,sad,sight,anymore,love,sun,like,know,hood
,afraid,loose,future,know,ho,hard,feel,champagne
,low,warm,babe,like,sorry,hair,like,school
,know,tight,hit,time,door,new,come,power
,god,moon,said,tell,hear,beat,baby,floor
,fool,fine,crew,look,know,baby,night,rest
,forgotten,dancing,wrong,heart,giving,bout,love,club
,forgive,big,send,friend,forgotten,stop,need,sorry
,good,feeling,fun,come,flex,long,time,ask
,forget,night,language,life,flight,know,way,dance
,forever,fly,break,hand,gold,love,tell,turn
,foot,follow,bad,mind,floor,body,cause,world
,follow,forgotten,rise,head,flow,girl,think,baby
,goal,foot,leave,day,flower,time,right,know
,fly,flower,speak,baby,god,tell,girl,flower
,flower,forever,hell,away,fly,hit,money,fly
,flow,flow,kill,cause,follow,ma,good,forget
,floor,forget,ride,light,fool,high,heart,flow
,flight,floor,talking,forget,foot,watch,away,flight
,flex,forgive,party,way,forever,number,mind,follow
Topic names,Sad,Light,Aggressive,,,,,
