Japan,0,0,0,0,5,0,0,0,2,1,0,8,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.25,0.125,0.0
China,0,0,0,0,7,0,0,0,2,4,0,13,0.0,0.0,0.0,0.0,0.5384615384615384,0.0,0.0,0.0,0.15384615384615385,0.3076923076923077,0.0
India,1,0,0,0,6,0,2,0,2,5,1,17,0.058823529411764705,0.0,0.0,0.0,0.35294117647058826,0.0,0.11764705882352941,0.0,0.11764705882352941,0.29411764705882354,0.058823529411764705
Russia,0,0,1,0,7,0,0,0,1,7,0,16,0.0,0.0,0.0625,0.0,0.4375,0.0,0.0,0.0,0.0625,0.4375,0.0
Ukraine,0,0,0,0,10,0,0,0,2,4,0,16,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.125,0.25,0.0
Bulgaria,1,0,0,0,6,0,0,0,2,6,0,15,0.06666666666666667,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.13333333333333333,0.4,0.0
Greece,0,0,0,0,6,0,0,0,5,4,0,15,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.3333333333333333,0.26666666666666666,0.0
Argentina,0,0,0,0,9,0,0,0,2,8,0,19,0.0,0.0,0.0,0.0,0.47368421052631576,0.0,0.0,0.0,0.10526315789473684,0.42105263157894735,0.0
Chile,0,0,0,0,9,0,0,0,3,6,0,18,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0
Brazil,0,0,1,0,4,0,0,0,1,0,0,6,0.0,0.0,0.16666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
Portugal,1,0,0,0,8,0,0,0,3,7,0,19,0.05263157894736842,0.0,0.0,0.0,0.42105263157894735,0.0,0.0,0.0,0.15789473684210525,0.3684210526315789,0.0
Spain,0,0,1,0,8,0,0,0,2,7,0,18,0.0,0.0,0.05555555555555555,0.0,0.4444444444444444,0.0,0.0,0.0,0.1111111111111111,0.3888888888888889,0.0
Italy,0,0,0,0,3,0,0,0,2,13,0,18,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.1111111111111111,0.7222222222222222,0.0
France,0,0,1,0,11,0,0,0,4,4,0,20,0.0,0.0,0.05,0.0,0.55,0.0,0.0,0.0,0.2,0.2,0.0
Belgium,0,0,1,0,10,0,0,0,2,6,0,19,0.0,0.0,0.05263157894736842,0.0,0.5263157894736842,0.0,0.0,0.0,0.10526315789473684,0.3157894736842105,0.0
Switzerland,0,0,1,0,7,0,0,0,4,6,0,18,0.0,0.0,0.05555555555555555,0.0,0.3888888888888889,0.0,0.0,0.0,0.2222222222222222,0.3333333333333333,0.0
Finland,0,0,0,0,9,0,0,0,1,5,0,15,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.06666666666666667,0.3333333333333333,0.0
Norway,0,0,1,0,9,0,0,0,3,7,0,20,0.0,0.0,0.05,0.0,0.45,0.0,0.0,0.0,0.15,0.35,0.0
Denmark,1,0,2,0,7,0,0,0,2,8,0,20,0.05,0.0,0.1,0.0,0.35,0.0,0.0,0.0,0.1,0.4,0.0
Sweden,0,1,1,0,7,0,0,0,2,7,0,18,0.0,0.05555555555555555,0.05555555555555555,0.0,0.3888888888888889,0.0,0.0,0.0,0.1111111111111111,0.3888888888888889,0.0
Netherlands,1,0,1,0,10,0,0,0,1,7,0,20,0.05,0.0,0.05,0.0,0.5,0.0,0.0,0.0,0.05,0.35,0.0
Austria,1,0,1,0,7,0,0,0,5,6,0,20,0.05,0.0,0.05,0.0,0.35,0.0,0.0,0.0,0.25,0.3,0.0
German,0,0,2,0,7,0,0,0,2,9,0,20,0.0,0.0,0.1,0.0,0.35,0.0,0.0,0.0,0.1,0.45,0.0
Ireland,0,0,2,0,11,0,0,0,2,5,0,20,0.0,0.0,0.1,0.0,0.55,0.0,0.0,0.0,0.1,0.25,0.0
UK Singles,1,0,1,0,10,0,0,0,1,7,0,20,0.05,0.0,0.05,0.0,0.5,0.0,0.0,0.0,0.05,0.35,0.0
USA Singles,0,0,0,0,8,0,0,0,4,7,0,19,0.0,0.0,0.0,0.0,0.42105263157894735,0.0,0.0,0.0,0.21052631578947367,0.3684210526315789,0.0
Canada,1,0,1,0,8,0,0,0,4,6,0,20,0.05,0.0,0.05,0.0,0.4,0.0,0.0,0.0,0.2,0.3,0.0
Australia,0,0,1,0,10,0,0,0,2,7,0,20,0.0,0.0,0.05,0.0,0.5,0.0,0.0,0.0,0.1,0.35,0.0
New Zealand,1,0,0,0,9,0,0,0,4,6,0,20,0.05,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.2,0.3,0.0
